fill	x	y	xmin	xmax	ymin	ymax
#8A7FBF	12080	24	12055	12105	-1	49
#3A3A98	12130	24	12105	12155	-1	49
#6058A9	12130	74	12105	12155	49	99
#FDFBFB	12180	74	12155	12205	49	99
#776DB5	12180	124	12155	12205	99	149
#DFBBB6	12230	124	12205	12255	99	149
#E8CDC9	12230	174	12205	12255	149	199
#A85D56	12280	174	12255	12305	149	199
#B16A63	12280	224	12255	12305	199	249
#E4C4BF	12330	224	12305	12355	199	249
#FCFCFE	12330	274	12305	12355	249	299
#E4C5C1	12380	274	12355	12405	249	299
#D09F99	12180	24	12155	12205	-1	49
#E4C4C0	12280	124	12255	12305	99	149
#BA7871	12380	224	12355	12405	199	249
#EDD7D4	12230	74	12205	12255	49	99
#F2E2E0	12330	174	12305	12355	149	199
#E6E2F1	12230	24	12205	12255	-1	49
#F9F8FC	12280	74	12255	12305	49	99
#CCC6E3	12330	124	12305	12355	99	149
#BCB4DA	12380	174	12355	12405	149	199
#C58B84	12430	224	12405	12455	199	249
#AAA0D1	12280	24	12255	12305	-1	49
#CEC7E4	12380	124	12355	12405	99	149
#D8D2EA	12330	74	12305	12355	49	99
#E1DCEE	12430	174	12405	12455	149	199
#F9F0EF	12330	24	12305	12355	-1	49
#C3BCDF	12380	74	12355	12405	49	99
#6C63B0	12430	124	12405	12455	99	149
#FBF5F5	12480	174	12455	12505	149	199
#5E56A8	12380	24	12355	12405	-1	49
#F4F2F9	12480	124	12455	12505	99	149
#E2DEEF	12430	74	12405	12455	49	99
#DAD5EB	12430	24	12405	12455	-1	49
#4D48A0	12480	74	12455	12505	49	99
#D3CEE7	12530	124	12505	12555	99	149
#746AB4	12480	24	12455	12505	-1	49
#E8E4F2	12530	74	12505	12555	49	99
#988EC7	12530	24	12505	12555	-1	49
#DBD6EC	12580	74	12555	12605	49	99
#6F65B1	12580	24	12555	12605	-1	49
#8D83C1	12630	24	12605	12655	-1	49
