group	x	y	showSelected1
1	12080	24	44
1	12080	24	140
1	12080	24	1202
1	12080	24	1337
1	12080	24	1659
1	12080	24	329
1	12080	24	1227
1	12080	24	1238
1	12080	24	279
1	12080	24	106
1	12080	24	217
1	12080	24	1177
1	12080	24	1518
1	12080	24	588
1	12080	24	2228
1	12080	24	896
1	12080	24	202
1	12080	24	1285
1	12080	24	523
1	12080	24	1226
1	12080	24	1245
1	12080	24	2290
2	12130	24	279
2	12130	24	670
2	12130	24	1443
2	12130	24	106
2	12130	24	150
2	12130	24	44
2	12130	24	1838
2	12130	24	137
2	12130	24	2031
2	12130	24	267
2	12130	24	22
2	12130	24	217
2	12130	24	985
2	12130	24	1533
2	12130	24	701
2	12130	24	1864
2	12130	24	1828
2	12130	24	486
2	12130	24	1174
2	12130	24	1226
2	12130	24	1863
2	12130	24	1884
2	12130	24	440
2	12130	24	202
2	12130	24	2081
2	12130	24	1037
2	12130	24	361
2	12130	24	1971
2	12130	24	1216
2	12130	24	577
2	12130	24	1649
2	12130	24	218
2	12130	24	693
2	12130	24	931
2	12130	24	1851
2	12130	24	1001
2	12130	24	513
2	12130	24	1595
2	12130	24	1667
2	12130	24	1645
2	12130	24	1086
2	12130	24	1620
2	12130	24	1514
2	12130	24	1083
2	12130	24	1701
2	12130	24	2147
2	12130	24	678
2	12130	24	878
2	12130	24	121
2	12130	24	933
2	12130	24	2139
2	12130	24	442
2	12130	24	2348
2	12130	24	614
2	12130	24	1747
2	12130	24	1111
2	12130	24	1073
2	12130	24	1208
2	12130	24	645
2	12130	24	876
2	12130	24	946
2	12130	24	2299
2	12130	24	1256
2	12130	24	2258
2	12130	24	1949
2	12130	24	1440
2	12130	24	1948
2	12130	24	1704
2	12130	24	1552
2	12130	24	500
2	12130	24	1084
2	12130	24	348
2	12130	24	608
2	12130	24	248
2	12130	24	1494
2	12130	24	706
2	12130	24	945
2	12130	24	445
2	12130	24	1307
2	12130	24	378
2	12130	24	708
2	12130	24	1326
2	12130	24	1712
2	12130	24	118
3	12130	74	279
3	12130	74	106
3	12130	74	218
3	12130	74	1765
3	12130	74	1672
3	12130	74	547
3	12130	74	1695
3	12130	74	65
3	12130	74	309
3	12130	74	150
3	12130	74	2254
3	12130	74	1560
3	12130	74	891
3	12130	74	1782
3	12130	74	654
3	12130	74	2164
3	12130	74	1757
3	12130	74	2044
3	12130	74	1580
3	12130	74	1462
3	12130	74	1728
3	12130	74	1254
3	12130	74	22
3	12130	74	1589
3	12130	74	824
3	12130	74	1577
3	12130	74	1174
3	12130	74	133
3	12130	74	725
3	12130	74	535
3	12130	74	1371
3	12130	74	2008
3	12130	74	1708
3	12130	74	2312
3	12130	74	2110
3	12130	74	1543
3	12130	74	1295
3	12130	74	440
3	12130	74	861
3	12130	74	1083
3	12130	74	121
6	12180	74	65
6	12180	74	1323
6	12180	74	1991
6	12180	74	127
6	12180	74	633
6	12180	74	309
6	12180	74	218
6	12180	74	618
6	12180	74	61
6	12180	74	1882
6	12180	74	2014
6	12180	74	579
6	12180	74	1990
6	12180	74	261
6	12180	74	66
6	12180	74	1774
6	12180	74	1680
6	12180	74	2016
6	12180	74	2092
6	12180	74	1914
6	12180	74	2145
6	12180	74	1570
6	12180	74	1596
6	12180	74	2247
6	12180	74	2182
6	12180	74	824
6	12180	74	121
6	12180	74	1400
6	12180	74	823
6	12180	74	2032
6	12180	74	1417
6	12180	74	1569
6	12180	74	690
6	12180	74	2128
6	12180	74	512
6	12180	74	1604
6	12180	74	27
6	12180	74	388
6	12180	74	428
6	12180	74	1944
6	12180	74	1994
6	12180	74	2091
6	12180	74	970
6	12180	74	1993
6	12180	74	1931
6	12180	74	501
6	12180	74	1923
6	12180	74	1968
6	12180	74	1322
6	12180	74	1862
6	12180	74	2180
6	12180	74	535
6	12180	74	2111
6	12180	74	1581
6	12180	74	1992
6	12180	74	1909
6	12180	74	1320
6	12180	74	1790
6	12180	74	885
6	12180	74	2144
6	12180	74	2337
6	12180	74	2179
6	12180	74	346
6	12180	74	2143
6	12180	74	1791
6	12180	74	1610
6	12180	74	473
6	12180	74	631
6	12180	74	881
6	12180	74	1435
6	12180	74	797
6	12180	74	1211
6	12180	74	1565
6	12180	74	574
6	12180	74	2127
6	12180	74	1880
6	12180	74	297
6	12180	74	1378
6	12180	74	1911
6	12180	74	1367
6	12180	74	895
6	12180	74	119
6	12180	74	1460
6	12180	74	2229
6	12180	74	1916
6	12180	74	64
6	12180	74	2181
6	12180	74	1321
6	12180	74	874
6	12180	74	1253
6	12180	74	1664
6	12180	74	1956
6	12180	74	1912
6	12180	74	1349
6	12180	74	962
6	12180	74	665
6	12180	74	2162
6	12180	74	525
6	12180	74	1351
6	12180	74	264
6	12180	74	1891
6	12180	74	490
6	12180	74	1276
6	12180	74	728
6	12180	74	984
6	12180	74	1348
6	12180	74	1988
6	12180	74	2125
6	12180	74	1924
6	12180	74	1537
6	12180	74	1141
6	12180	74	524
6	12180	74	1888
6	12180	74	1661
6	12180	74	1430
6	12180	74	2212
6	12180	74	821
6	12180	74	1879
6	12180	74	234
6	12180	74	2178
6	12180	74	308
6	12180	74	1910
6	12180	74	1517
6	12180	74	1544
6	12180	74	118
6	12180	74	1114
6	12180	74	355
6	12180	74	996
6	12180	74	50
6	12180	74	566
6	12180	74	85
6	12180	74	849
6	12180	74	1274
6	12180	74	584
6	12180	74	2177
6	12180	74	1088
6	12180	74	1989
6	12180	74	2335
6	12180	74	1662
6	12180	74	1064
6	12180	74	408
6	12180	74	810
6	12180	74	938
6	12180	74	272
6	12180	74	123
6	12180	74	258
6	12180	74	1248
6	12180	74	1237
6	12180	74	1628
6	12180	74	1854
6	12180	74	4
6	12180	74	1629
6	12180	74	1976
5	12180	124	633
5	12180	124	1545
5	12180	124	65
5	12180	124	66
5	12180	124	2220
5	12180	124	917
5	12180	124	57
5	12180	124	2279
5	12180	124	1458
5	12180	124	71
5	12180	124	1159
5	12180	124	1029
5	12180	124	33
5	12180	124	1212
5	12180	124	1397
5	12180	124	104
5	12180	124	1482
5	12180	124	879
5	12180	124	471
5	12180	124	1342
5	12180	124	2001
5	12180	124	261
5	12180	124	2256
5	12180	124	1191
5	12180	124	1172
5	12180	124	1376
5	12180	124	1439
5	12180	124	1431
5	12180	124	1190
5	12180	124	2308
5	12180	124	2307
5	12180	124	429
5	12180	124	2306
5	12180	124	2002
5	12180	124	1412
5	12180	124	394
5	12180	124	1488
5	12180	124	313
5	12180	124	2304
5	12180	124	2050
5	12180	124	437
5	12180	124	2003
5	12180	124	2305
5	12180	124	1718
5	12180	124	1024
