group	fill	clickSelects
1	#FFFFFF	552
2	#FFFFFF	86
3	#FFFFFF	86
14	#FFFFFF	86
25	#FFFFFF	86
52	#FFFFFF	552
53	#FFFFFF	86
64	#FFFFFF	86
75	#FFFFFF	86
86	#FFFFFF	86
102	#FFFFFF	552
103	#FFFFFF	552
104	#FFFFFF	86
115	#FFFFFF	86
126	#FFFFFF	86
137	#FFFFFF	86
153	#FFFFFF	68
154	#FFFFFF	86
155	#FFFFFF	86
156	#FFFFFF	86
157	#FFFFFF	86
158	#FFFFFF	86
165	#FFFFFF	86
176	#FFFFFF	86
187	#FFFFFF	86
198	#FFFFFF	86
199	#FFFFFF	86
200	#FFFFFF	86
201	#FFFFFF	307
202	#FFFFFF	86
203	#FFFFFF	68
204	#FFFFFF	68
205	#FFFFFF	68
206	#FFFFFF	86
207	#FFFFFF	86
208	#FFFFFF	86
209	#FFFFFF	86
216	#FFFFFF	86
227	#FFFFFF	86
238	#FFFFFF	86
248	#FFFFFF	3
249	#FFFFFF	3
250	#FFFFFF	86
251	#FFFFFF	86
252	#FFFFFF	86
254	#FFFFFF	68
255	#FFFFFF	68
256	#FFFFFF	86
257	#FFFFFF	86
258	#FFFFFF	86
259	#FFFFFF	86
260	#FFFFFF	86
266	#FFFFFF	86
277	#FFFFFF	86
288	#FFFFFF	86
299	#FFFFFF	3
300	#FFFFFF	3
301	#FFFFFF	86
302	#FFFFFF	86
303	#FFFFFF	86
304	#FFFFFF	68
305	#FFFFFF	68
306	#FFFFFF	86
307	#FFFFFF	86
308	#FFFFFF	86
309	#FFFFFF	86
310	#FFFFFF	86
311	#FFFFFF	86
317	#FFFFFF	68
328	#FFFFFF	86
339	#FFFFFF	3
349	#FFFFFF	3
350	#FFFFFF	3
351	#FFFFFF	86
352	#FFFFFF	3
353	#FFFFFF	86
355	#FFFFFF	68
356	#FFFFFF	68
357	#FFFFFF	86
358	#FFFFFF	86
359	#FFFFFF	86
360	#FFFFFF	86
361	#FFFFFF	86
362	#FFFFFF	86
367	#FFFFFF	86
378	#FFFFFF	68
389	#FFFFFF	86
400	#FFFFFF	3
401	#FFFFFF	3
402	#FFFFFF	86
403	#FFFFFF	3
404	#FFFFFF	3
405	#FFFFFF	68
406	#FFFFFF	68
407	#FFFFFF	68
408	#FFFFFF	86
409	#FFFFFF	86
410	#FFFFFF	86
411	#FFFFFF	86
412	#FFFFFF	537
413	#FFFFFF	537
418	#FFFFFF	68
429	#FFFFFF	3
440	#FFFFFF	3
450	#FFFFFF	3
451	#FFFFFF	3
452	#FFFFFF	3
453	#FFFFFF	3
454	#FFFFFF	86
456	#FFFFFF	68
457	#FFFFFF	68
458	#FFFFFF	86
459	#FFFFFF	86
