group	x	y	clickSelects
2569	-45.25	48.75	51
2569	-45.25	49.25	51
2569	-34.75	49.25	51
2569	-34.25	48.75	51
2569	-31.75	48.75	51
2569	-31.25	49.25	51
2569	-26.75	49.25	51
2569	-26.25	48.75	51
2569	-26.25	47.75	51
2569	-25.75	47.75	51
2569	-24.25	49.25	51
2569	-23.75	49.25	51
2569	-23.75	47.25	51
2569	-23.25	47.25	51
2569	-22.75	47.75	51
2569	-22.75	48.75	51
2569	-22.25	48.75	51
2569	-21.75	48.25	51
2569	-21.75	47.75	51
2569	-22.25	47.25	51
2569	-22.25	46.25	51
2569	-23.25	46.25	51
2569	-23.75	45.75	51
2569	-23.75	45.25	51
2569	-23.25	44.75	51
2569	-23.25	44.25	51
2569	-24.25	44.25	51
2569	-24.25	43.25	51
2569	-25.25	43.25	51
2569	-25.25	40.75	51
2569	-24.75	40.25	51
2569	-24.75	39.25	51
2569	-24.25	39.25	51
2569	-23.75	39.75	51
2569	-23.25	39.75	51
2569	-23.25	38.75	51
2569	-22.75	38.75	51
2569	-21.75	39.75	51
2569	-21.75	40.75	51
2569	-21.25	40.75	51
2569	-20.75	40.25	51
2569	-20.75	39.75	51
2569	-21.25	39.25	51
2569	-21.25	38.75	51
2569	-20.25	37.75	51
2569	-19.75	37.75	51
2569	-19.75	38.75	51
2569	-19.25	39.25	51
2569	-18.75	39.25	51
2569	-18.25	38.75	51
2569	-17.75	38.75	51
2569	-17.75	39.25	51
2569	-18.25	39.75	51
2569	-18.25	40.25	51
2569	-17.25	40.25	51
2569	-16.75	40.75	51
2569	-16.75	41.25	51
2569	-17.75	42.25	51
2569	-17.75	42.75	51
2569	-15.75	42.75	51
2569	-14.75	43.75	51
2569	-14.75	44.25	51
2569	-15.75	44.25	51
2569	-16.25	44.75	51
2569	-17.75	44.75	51
2569	-17.75	43.75	51
2569	-18.25	43.75	51
2569	-19.25	44.75	51
2569	-19.25	45.75	51
2569	-19.75	45.75	51
2569	-20.25	45.25	51
2569	-20.75	45.25	51
2569	-20.75	45.75	51
2569	-20.25	46.25	51
2569	-20.25	46.75	51
2569	-20.75	47.25	51
2569	-20.75	47.75	51
2569	-19.75	47.75	51
2569	-19.25	48.25	51
2569	-18.75	48.25	51
2569	-18.75	47.75	51
2569	-19.25	47.25	51
2569	-19.25	46.75	51
2569	-18.75	46.25	51
2569	-18.25	46.25	51
2569	-17.75	46.75	51
2569	-17.75	47.75	51
2569	-17.25	48.25	51
2569	-16.75	48.25	51
2569	-15.75	47.25	51
2569	-14.25	47.25	51
2569	-14.25	48.25	51
2569	-13.25	49.25	51
2569	-12.75	49.25	51
2569	-12.75	48.75	51
2569	-13.25	48.25	51
2569	-13.25	46.75	51
2569	-12.75	46.25	51
2569	-12.75	45.75	51
2569	-13.25	45.25	51
2569	-13.25	44.75	51
2569	-12.25	43.75	51
2569	-12.25	41.25	51
2569	-13.25	41.25	51
2569	-13.25	40.75	51
2569	-12.25	39.75	51
2569	-11.75	39.75	51
2569	-10.75	40.75	51
2569	-10.75	41.75	51
2569	-10.25	41.75	51
2569	-9.75	41.25	51
2569	-9.25	41.25	51
2569	-9.25	42.25	51
2569	-7.75	43.75	51
2569	-7.25	43.75	51
2569	-6.75	43.25	51
2569	-6.75	42.75	51
2569	-7.75	42.75	51
2569	-8.25	42.25	51
2569	-8.25	41.75	51
2569	-7.25	41.75	51
2569	-6.75	41.25	51
2569	-6.25	41.25	51
2569	-6.25	42.25	51
2569	-5.25	42.25	51
2569	-3.75	43.75	51
2569	-3.25	43.75	51
2569	-3.25	42.75	51
2569	-2.25	42.75	51
2569	-1.75	42.25	51
2569	-0.25	42.25	51
2569	-0.25	43.75	51
2569	-1.25	44.75	51
