group	label	showSelected1
1	Cluster 2: 178/1267 pixels shown, logFC -2.7 to 2.3, log10(p) 0.0 to 2.8	2
1	Cluster 19: 802/915 pixels shown, logFC -3.5 to 2.1, log10(p) 0.0 to 3.0	19
1	Cluster 42: 526/3612 pixels shown, logFC -2.6 to 3.3, log10(p) 0.0 to 4.0	42
1	Cluster 148: 115/115 pixels shown, logFC -2.1 to 3.6, log10(p) 0.0 to 1.5	148
1	Cluster 233: 7/33 pixels shown, logFC -0.4 to 2.3, log10(p) 0.0 to 1.5	233
1	Cluster 291: 40/40 pixels shown, logFC -0.1 to 3.6, log10(p) 0.0 to 1.8	291
1	Cluster 303: 317/317 pixels shown, logFC -2.8 to 1.4, log10(p) 0.0 to 3.4	303
1	Cluster 304: 2/199 pixels shown, logFC -1.6 to 2.4, log10(p) 0.0 to 2.3	304
1	Cluster 395: 8/8 pixels shown, logFC -2.6 to -0.6, log10(p) 0.2 to 0.7	395
1	Cluster 401: 10/29 pixels shown, logFC -3.0 to 1.4, log10(p) 0.0 to 2.2	401
1	Cluster 438: 127/127 pixels shown, logFC -1.3 to 2.8, log10(p) 0.0 to 2.1	438
1	Cluster 465: 6/6 pixels shown, logFC 0.1 to 2.0, log10(p) 0.0 to 0.5	465
1	Cluster 620: 5/5 pixels shown, logFC -2.6 to -0.6, log10(p) 0.2 to 0.7	620
1	Cluster 671: 24/24 pixels shown, logFC 0.1 to 2.8, log10(p) 0.0 to 0.9	671
1	Cluster 679: 1/1 pixels shown, logFC -4.6 to -4.6, log10(p) 2.5 to 2.5	679
1	Cluster 694: 4/4 pixels shown, logFC -3.5 to -1.6, log10(p) 0.4 to 1.3	694
1	Cluster 766: 2/2 pixels shown, logFC -4.3 to -2.1, log10(p) 1.0 to 2.1	766
1	Cluster 801: 121/132 pixels shown, logFC -1.7 to 1.7, log10(p) 0.0 to 3.2	801
1	Cluster 833: 3/3 pixels shown, logFC 0.9 to 2.8, log10(p) 0.3 to 0.8	833
1	Cluster 850: 1/80 pixels shown, logFC -1.7 to 1.5, log10(p) 0.0 to 1.8	850
1	Cluster 893: 13/13 pixels shown, logFC 0.1 to 2.3, log10(p) 0.1 to 2.5	893
1	Cluster 907: 2/2 pixels shown, logFC 2.8 to 3.6, log10(p) 0.8 to 1.4	907
1	Cluster 980: 1/1 pixels shown, logFC -3.5 to -3.5, log10(p) 1.2 to 1.2	980
1	Cluster 1085: 1/1 pixels shown, logFC -3.5 to -3.5, log10(p) 1.3 to 1.3	1085
1	Cluster 1160: 1/1 pixels shown, logFC -3.5 to -3.5, log10(p) 1.2 to 1.2	1160
1	Cluster 1209: 3/3 pixels shown, logFC 2.8 to 3.3, log10(p) 0.8 to 1.2	1209
1	Cluster 1223: 2/2 pixels shown, logFC 3.6 to 4.3, log10(p) 1.4 to 2.3	1223
1	Cluster 1361: 1/1 pixels shown, logFC -4.6 to -4.6, log10(p) 2.6 to 2.6	1361
1	Cluster 1389: 1/1 pixels shown, logFC -3.5 to -3.5, log10(p) 1.3 to 1.3	1389
1	Cluster 1399: 4/4 pixels shown, logFC -2.6 to -2.1, log10(p) 0.7 to 1.0	1399
1	Cluster 1409: 1/1 pixels shown, logFC -3.5 to -3.5, log10(p) 1.3 to 1.3	1409
1	Cluster 1491: 54/975 pixels shown, logFC -2.2 to 2.2, log10(p) 0.0 to 2.9	1491
1	Cluster 1536: 1/1 pixels shown, logFC -3.8 to -3.8, log10(p) 1.5 to 1.5	1536
1	Cluster 1588: 1/1 pixels shown, logFC -3.5 to -3.5, log10(p) 1.3 to 1.3	1588
1	Cluster 1693: 4/4 pixels shown, logFC 1.0 to 3.3, log10(p) 0.4 to 1.1	1693
1	Cluster 1752: 1/1 pixels shown, logFC 3.3 to 3.3, log10(p) 1.1 to 1.1	1752
1	Cluster 1755: 37/37 pixels shown, logFC -0.6 to 0.8, log10(p) 0.0 to 1.2	1755
1	Cluster 1789: 1/1 pixels shown, logFC -3.8 to -3.8, log10(p) 1.6 to 1.6	1789
1	Cluster 1927: 5/5 pixels shown, logFC 0.6 to 2.1, log10(p) 0.3 to 1.2	1927
1	Cluster 1951: 1/1 pixels shown, logFC -3.1 to -3.1, log10(p) 0.9 to 0.9	1951
1	Cluster 2101: 8/8 pixels shown, logFC 0.6 to 1.6, log10(p) 0.3 to 1.4	2101
1	Cluster 2204: 1/1 pixels shown, logFC -3.1 to -3.1, log10(p) 1.0 to 1.0	2204
1	Cluster 2321: 1/1 pixels shown, logFC -3.5 to -3.5, log10(p) 1.3 to 1.3	2321
